female|nonwhite|gender|race|resid_income|scf_income
0|0|Female|White|24941.468008762728|64313.804
0|0|Male|White|-27872.336017216563|11500.0
0|0|Male|White|-36772.33601721656|2600.0
0|1|Male|Asian-Pac-Islander|5481.2144504578755|38997.0
0|0|Male|White|2027.663982783437|41400.0
0|0|Male|White|-848.336017216563|38524.0
0|0|Female|White|2635.4680087627275|42007.804
0|0|Male|White|27060.663982783437|66433.0
0|0|Male|White|-5591.336017216563|33781.0
0|0|Male|White|-8322.336017216563|31050.0
0|0|Female|White|-21038.531991237272|18333.804
0|0|Male|White|-8496.336017216563|30876.0
0|0|Male|White|-35506.33601721656|3866.0
0|0|Female|White|-18956.531991237272|20415.804
0|0|Male|White|20813.663982783437|60186.0
0|0|Male|White|16113.663982783437|55486.0
0|0|Male|White|60626.66398278344|99999.0
0|0|Male|White|22837.663982783437|62210.0
0|0|Male|White|-6692.336017216563|32680.0
0|0|Male|White|1737.663982783437|41110.0
0|0|Female|White|-3985.5319912372725|35386.804
0|0|Male|White|-11822.336017216563|27550.0
0|0|Male|White|-13372.336017216563|26000.0
0|0|Female|White|-10508.531991237272|28863.804
0|0|Female|White|-16270.531991237272|23101.804
0|0|Male|White|-5322.336017216563|34050.0
0|0|Male|White|-21835.336017216563|17537.0
0|0|Male|White|-6022.336017216563|33350.0
0|0|Female|White|4101.468008762728|43473.804
0|0|Male|White|-18337.336017216563|21035.0
0|0|Male|White|-19649.336017216563|19723.0
0|0|Male|White|18494.663982783437|57867.0
0|0|Male|White|19206.663982783437|58579.0
0|0|Male|White|27627.663982783437|67000.0
0|0|Male|White|-21172.336017216563|18200.0
0|0|Male|White|8075.663982783437|47448.0
0|0|Female|White|-7156.531991237272|32215.804
0|0|Male|White|-29772.336017216563|9600.0
0|0|Male|White|38327.66398278344|77700.0
0|0|Male|White|-24812.336017216563|14560.0
0|0|Male|White|-27670.336017216563|11702.0
0|0|Female|White|-21078.531991237272|18293.804
0|0|Male|White|-21472.336017216563|17900.0
0|0|Male|White|-32594.336017216563|6778.0
0|0|Male|White|-28192.336017216563|11180.0
0|0|Male|White|-20652.336017216563|18720.0
0|0|Male|White|-30376.336017216563|8996.0
0|0|Male|White|-1072.336017216563|38300.0
0|0|Female|White|-22658.531991237272|16713.804
0|0|Female|White|-21458.531991237272|17913.804
0|0|Male|White|-35372.33601721656|4000.0
0|0|Male|White|60626.66398278344|99999.0
0|0|Female|White|-17702.531991237272|21669.804
0|0|Male|White|43627.66398278344|83000.0
0|0|Male|White|-7172.336017216563|32200.0
0|0|Female|White|-15378.531991237272|23993.804
0|0|Female|White|416.46800876272755|39788.804
0|0|Male|White|57711.66398278344|97084.0
0|0|Female|White|10972.468008762728|50344.804
0|0|Female|White|-22237.531991237272|17134.804
0|0|Female|White|68629.46800876272|99999.0
0|0|Male|White|2231.663982783437|41604.0
0|0|Male|White|-31372.336017216563|8000.0
0|0|Female|White|-23058.531991237272|16313.804
0|0|Male|White|6435.663982783437|45808.0
0|0|Female|White|-22358.531991237272|17013.804
0|0|Male|White|-27757.336017216563|11615.0
0|0|Female|White|6459.468008762728|45831.804
0|0|Male|White|-14152.336017216563|25220.0
0|0|Female|White|-20658.531991237272|18713.804
0|0|Male|White|-29372.336017216563|10000.0
0|0|Female|White|-16680.531991237272|22691.804
0|0|Female|White|-8548.531991237272|30823.804
0|0|Male|White|-20144.336017216563|19228.0
0|0|Female|White|4306.468008762728|43678.804
0|0|Male|White|51058.66398278344|90431.0
0|0|Male|White|-33843.33601721656|5529.0
0|0|Male|White|60626.66398278344|99999.0
0|0|Female|White|7941.468008762728|47313.804
0|0|Male|White|-2372.336017216563|37000.0
0|0|Female|White|27541.468008762728|66913.804
0|0|Male|White|-6372.336017216563|33000.0
0|0|Female|White|-3138.5319912372725|36233.804
0|0|Male|White|6647.663982783437|46020.0
0|0|Male|White|60626.66398278344|99999.0
0|0|Female|White|25691.468008762728|65063.804
0|0|Male|White|-34565.33601721656|4807.0
0|0|Female|White|-22137.531991237272|17234.804
0|0|Male|White|3418.663982783437|42791.0
0|0|Male|White|-15372.336017216563|24000.0
0|0|Female|White|-22158.531991237272|17213.804
0|0|Female|White|-19148.531991237272|20223.804
0|0|Female|White|-23760.531991237272|15611.804
0|0|Male|White|8627.663982783437|48000.0
0|0|Male|White|4026.663982783437|43399.0
0|0|Male|White|8108.663982783437|47481.0
0|0|Female|White|20991.468008762728|60363.804
0|0|Male|White|-21509.336017216563|17863.0
0|0|Male|White|-24343.336017216563|15029.0
0|0|Male|White|-31052.336017216563|8320.0
0|0|Male|White|-9751.336017216563|29621.0
0|0|Male|White|-19075.336017216563|20297.0
0|0|Male|White|48627.66398278344|88000.0
0|0|Male|White|-34872.33601721656|4500.0
0|0|Male|White|-15348.336017216563|24024.0
0|0|Female|White|57063.46800876273|96435.804
0|0|Male|White|-24408.336017216563|14964.0
0|0|Female|White|-18033.531991237272|21338.804
0|0|Male|White|-31612.336017216563|7760.0
0|0|Male|White|-494.33601721656305|38878.0
0|0|Male|White|-9372.336017216563|30000.0
0|0|Female|White|-13658.531991237272|25713.804
0|0|Male|White|-30592.336017216563|8780.0
0|0|Female|White|14852.468008762728|54224.804
0|0|Female|White|-17106.531991237272|22265.804
0|0|Male|White|-19812.336017216563|19560.0
0|0|Female|White|-16816.531991237272|22555.804
0|0|Female|White|-7462.531991237272|31909.804
0|0|Male|White|-35572.33601721656|3800.0
0|0|Male|White|26473.663982783437|65846.0
0|0|Male|White|-17360.336017216563|22012.0
0|0|Female|White|62103.46800876273|99999.0
0|0|Female|White|36431.46800876273|75803.804
0|0|Male|White|-4372.336017216563|35000.0
0|0|Male|White|25988.663982783437|65361.0
0|0|Female|White|-21758.531991237272|17613.804
0|0|Female|White|-20103.531991237272|19268.804
0|0|Female|White|-11158.531991237272|28213.804
0|0|Female|White|4863.468008762728|44235.804
0|0|Female|White|16041.468008762728|55413.804
0|0|Female|White|51912.46800876273|91284.804
0|0|Male|White|-21372.336017216563|18000.0
0|0|Male|White|11181.663982783437|50554.0
0|0|Male|White|1415.663982783437|40788.0
0|0|Female|White|-20418.531991237272|18953.804
0|0|Female|White|10866.468008762728|50238.804
0|0|Female|White|844.4680087627275|40216.804
0|0|Male|White|-7949.336017216563|31423.0
0|0|Male|White|-11450.336017216563|27922.0
0|0|Male|White|-4136.336017216563|35236.0
0|0|Female|White|-13053.531991237272|26318.804
0|0|Male|White|-37183.33601721656|2189.0
0|0|Male|White|26627.663982783437|66000.0
0|0|Male|White|-34472.33601721656|4900.0
0|0|Male|White|-7974.336017216563|31398.0
0|0|Female|White|-16922.531991237272|22449.804
0|1|Male|Asian-Pac-Islander|66483.21445045788|99999.0
0|0|Male|White|1575.663982783437|40948.0
0|0|Male|White|60626.66398278344|99999.0
0|0|Male|White|-24372.336017216563|15000.0
0|0|Male|White|-10196.336017216563|29176.0
0|0|Male|White|8489.663982783437|47862.0
0|0|Male|White|-37147.33601721656|2225.0
0|0|Male|White|-11309.336017216563|28063.0
0|0|Female|White|-16158.531991237272|23213.804
0|0|Male|White|-322.33601721656305|39050.0
0|0|Female|White|-9497.531991237272|29874.804
0|0|Female|White|-19378.531991237272|19993.804
0|0|Female|White|-19177.531991237272|20194.804
0|0|Male|White|-32594.336017216563|6778.0
0|0|Female|White|-5634.531991237272|33737.804
0|0|Male|White|-34872.33601721656|4500.0
0|0|Male|White|-35372.33601721656|4000.0
0|0|Female|White|-19582.531991237272|19789.804
0|0|Male|White|-372.33601721656305|39000.0
0|0|Female|White|-2742.5319912372725|36629.804
0|0|Male|White|-8447.336017216563|30925.0
0|0|Female|White|-13096.531991237272|26275.804
0|0|Male|White|-9372.336017216563|30000.0
0|0|Male|White|-7392.336017216563|31980.0
0|0|Male|White|2734.663982783437|42107.0
0|0|Female|White|-21497.531991237272|17874.804
0|0|Male|White|19951.663982783437|59324.0
0|0|Male|White|13198.663982783437|52571.0
0|0|Female|White|-21517.531991237272|17854.804
0|0|Male|White|26427.663982783437|65800.0
0|0|Male|White|-37172.33601721656|2200.0
0|0|Male|White|-37672.33601721656|1700.0
0|0|Male|White|-18049.336017216563|21323.0
0|0|Female|White|36843.46800876273|76215.804
0|0|Male|White|-14372.336017216563|25000.0
0|0|Male|White|-20342.336017216563|19030.0
0|0|Male|White|-11372.336017216563|28000.0
0|0|Male|White|-70.33601721656305|39302.0
0|0|Female|White|-16875.531991237272|22496.804
0|0|Male|White|-27478.336017216563|11894.0
0|0|Male|White|-172.33601721656305|39200.0
0|0|Male|White|51227.66398278344|90600.0
0|0|Male|White|-19372.336017216563|20000.0
0|0|Male|White|7040.663982783437|46413.0
0|0|Male|White|-14372.336017216563|25000.0
0|0|Female|White|-15152.531991237272|24219.804
0|0|Male|White|-19812.336017216563|19560.0
0|0|Female|White|-14807.531991237272|24564.804
0|0|Male|White|-29772.336017216563|9600.0
0|0|Male|White|45627.66398278344|85000.0
0|1|Male|Amer-Indian-Eskimo|-12985.785549542124|20530.0
0|0|Male|White|2679.663982783437|42052.0
0|0|Male|White|-31072.336017216563|8300.0
0|0|Male|White|-36612.33601721656|2760.0
0|0|Female|White|-13373.531991237272|25998.804
0|0|Male|White|-17799.336017216563|21573.0
0|0|Male|White|-19372.336017216563|20000.0
0|0|Female|White|-23043.531991237272|16328.804
0|0|Male|White|5828.663982783437|45201.0
0|0|Male|White|-8592.336017216563|30780.0
0|0|Male|White|-818.336017216563|38554.0
0|0|Female|White|-456.53199123727245|38915.804
0|0|Female|White|-22994.531991237272|16377.804
0|0|Female|White|-23258.531991237272|16113.804
0|0|Female|White|-1133.5319912372725|38238.804
0|0|Female|White|-17658.531991237272|21713.804
0|0|Female|White|-490.53199123727245|38881.804
0|0|Female|White|8872.468008762728|48244.804
0|0|Male|White|27927.663982783437|67300.0
0|0|Male|White|47439.66398278344|86812.0
0|0|Female|White|3763.4680087627275|43135.804
0|0|Male|White|4803.663982783437|44176.0
0|0|Female|White|5841.468008762728|45213.804
0|0|Female|White|17641.468008762728|57013.804
0|0|Male|White|-14372.336017216563|25000.0
0|0|Male|White|-22364.336017216563|17008.0
0|0|Female|White|-18543.531991237272|20828.804
0|0|Female|White|-22921.531991237272|16450.804
0|0|Female|White|-23078.531991237272|16293.804
0|0|Female|White|6042.468008762728|45414.804
0|0|Male|White|-16985.336017216563|22387.0
0|0|Male|White|-26372.336017216563|13000.0
0|0|Female|White|-16158.531991237272|23213.804
0|0|Male|White|-8652.336017216563|30720.0
0|0|Female|White|-22658.531991237272|16713.804
0|0|Female|White|-13961.531991237272|25410.804
0|0|Male|White|29677.663982783437|69050.0
0|0|Male|White|16267.663982783437|55640.0
0|0|Male|White|50059.66398278344|89432.0
0|0|Male|White|-24840.336017216563|14532.0
0|0|Male|White|-26869.336017216563|12503.0
0|0|Female|White|-5966.531991237272|33405.804
